n,range,midpoint,mean,A1,psi1,p,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,ljung,var
128,16.29,15.525,15.29972222,-7.617904676,5.310189646,2,1.138104584,-0.25329867,,,,,,,,,,,0.027615096,0.056274182
129,17.02,17.46,17.789375,8.601516759,2.180542915,2,1.21118451,-0.249105919,,,,,,,,,,,0.822426599,0.052259797
130,16.01,17.825,17.91916667,-7.441413011,5.187192649,2,1.236812728,-0.339067701,,,,,,,,,,,0.001273031,0.049768023
131,16.29,19.505,18.25583333,-6.52821447,5.489867674,2,1.380783097,-0.420012559,,,,,,,,,,,0.020418486,0.174104575
132,9.68,11.61,9.530972222,2.912624788,-0.860252734,4,2.059996625,-1.488630491,0.680811665,-0.254414679,,,,,,,,,0.018197693,0.005751101
133,7.08,8.79,9.172083333,3.320233659,-4.072382927,6,0.889199599,0.001332911,0.258973408,0.036289536,0.124524114,-0.370676096,,,,,,,0.194138739,0.014028697
134,8.54,10.44,11.05916667,4.143507916,-10.46025189,2,1.200364407,-0.201702174,,,,,,,,,,,0.249712609,0.031915078
135,5.17,11.225,11.038125,1.607178684,1.915161385,4,1.527602374,-0.756945276,0.499325045,-0.312970698,,,,,,,,,0.487637069,0.01430394
136,9.07,12.065,11.94034722,4.090322468,8.527591424,1,0.821469162,,,,,,,,,,,,0.026126287,0.05820244
137,12.94,13.27,13.22263889,-5.795120413,5.283666587,1,0.928349045,,,,,,,,,,,,0.069377096,0.048829183
138,11.26,15.03,14.58277778,-5.026522127,5.319681395,4,1.112776776,-0.398040763,0.446955635,-0.249309356,,,,,,,,,0.056592769,0.057134929
139,19.96,18.35,18.47333333,-9.556248377,5.216032929,1,0.977083201,,,,,,,,,,,,0.01128321,0.087665705
140,15.18,19.15,18.95277778,-6.024613781,5.519829358,2,1.244011379,-0.302418611,,,,,,,,,,,0.054117734,0.084543337
141,5.76,16.11,16.35534722,-1.221860573,4.998205509,4,1.439936627,-0.587719525,0.485683845,-0.365767553,,,,,,,,,0.794151546,0.020167956
142,15.39,17.775,17.69090278,-7.159003517,5.315629468,1,0.933971709,,,,,,,,,,,,0.002638058,0.07521201
143,19.29,20.435,19.34548611,-8.476482417,5.634396136,2,1.55430738,-0.570934721,,,,,,,,,,,0.002180448,0.089036447
144,5.38,15.27,15.47395833,-1.016679568,0.779821796,2,1.644545274,-0.663392167,,,,,,,,,,,0.301620871,0.029612589
145,8.68,14.64,14.56590278,3.55803214,-16.31871857,2,1.214384193,-0.310550844,,,,,,,,,,,0.230318107,0.063769887
146,4.7,14.75,14.39555556,-2.107977603,-0.375451303,4,1.076049344,-0.344666154,0.418695124,-0.24814059,,,,,,,,,0.003793782,0.043732253
147,10.15,16.005,15.24111111,-4.611740082,5.100958445,1,0.929346253,,,,,,,,,,,,0.011452604,0.060869215
148,15.1,18.72,19.19784722,-6.63877758,5.298552385,1,0.959734243,,,,,,,,,,,,0.003567049,0.127664873
149,7.85,16.965,16.25729167,2.923967067,8.070457361,3,1.265059145,-0.508417154,0.221625534,,,,,,,,,,0.057177566,0.06656559
150,9.83,15.995,16.38673958,4.194094862,2.102856836,2,1.32308433,-0.424751951,,,,,,,,,,,0.490514627,0.089757799
151,5.86,14.77,15.08659722,-2.015770582,-6.988455572,2,1.368178427,-0.385255083,,,,,,,,,,,0.100091243,0.021186407
152,11.76,16.6,15.590625,-4.935762663,4.940100521,3,1.355806145,-0.693491505,0.252358586,,,,,,,,,,0.978596909,0.058531326
153,17.2,18.9,19.05777778,-7.500642708,5.083710178,2,1.141089001,-0.2330074,,,,,,,,,,,0.470194786,0.064807563
154,19.42,21.81,21.39993056,-8.682380636,-1.039795195,1,0.92341372,,,,,,,,,,,,0.095995399,0.134557142
155,18.75,22.015,18.64604167,-5.886250502,-0.243455129,2,1.543352801,-0.575924928,,,,,,,,,,,0.230285424,0.32059938
156,7.44,15.82,16.06847222,3.157835514,-4.004283374,2,1.621254255,-0.667603198,,,,,,,,,,,0.626432303,0.018602928
157,5.28,14.62,14.29326389,1.825883789,-41.78347247,2,1.442028176,-0.458068553,,,,,,,,,,,0.316858837,0.018237593
158,7.77,14.255,13.79701389,2.60723544,2.350879522,2,1.398272728,-0.47266734,,,,,,,,,,,0.093080744,0.062437461
159,7.16,15.35,15.31208333,-3.683590526,93.26429302,4,1.460610263,-0.873899959,0.532725333,-0.217103602,,,,,,,,,0.815000552,0.024558462
160,11.07,16.555,16.56479167,-5.218646124,5.400091688,2,1.19562084,-0.262368134,,,,,,,,,,,0.115471413,0.048229788
161,10.3,17.53,16.18826389,3.859024639,-10.03036533,2,1.480094208,-0.509187721,,,,,,,,,,,0.157069241,0.051731825
162,4.87,16.735,15.80513889,-1.628275328,-0.261515581,2,1.374049437,-0.415503862,,,,,,,,,,,0.734478036,0.01615829
163,4.16,16.33,16.15298611,2.068993839,7.885326482,4,1.353819861,-0.664007464,0.461032868,-0.188203924,,,,,,,,,0.649969808,0.013603038
164,19.23,24.475,24.65854167,-9.52711034,5.145107915,1,0.994650209,,,,,,,,,,,,0.803187524,0.104178054
165,23.38,29.46,27.69229167,-9.58869389,5.681394791,3,1.557066812,-0.832469816,0.203904778,,,,,,,,,,0.33302545,0.700944204
166,5.94,22.23,21.38076389,1.656437929,27.26188607,4,1.649281419,-1.064146086,0.582259936,-0.262289843,,,,,,,,,0.313164719,0.023016885
167,8.37,22.105,21.26118056,-2.150581484,-0.015348744,3,1.548250071,-1.050825779,0.414770528,,,,,,,,,,0.007979419,0.128208659
168,12.53,23.375,21.51541667,-4.806801361,-13.25068219,2,1.353189767,-0.40671742,,,,,,,,,,,0.303057824,0.133391362
169,13.51,24.745,24.65291667,-6.562169507,5.318009348,2,1.105389367,-0.256462903,,,,,,,,,,,0.560495703,0.067755991
170,5.42,18.16,18.42513889,-0.821030219,13.90760339,2,1.496110433,-0.499514617,,,,,,,,,,,0.57166951,0.015642972
171,15.5,21.04,20.46104167,6.97346465,-3.800258382,6,1.542787223,-0.950888848,0.661715847,-0.490653731,0.475556107,-0.30335603,,,,,,,0.581722921,0.117048861
172,8.78,21.31,20.77611111,3.702174597,2.078099122,2,1.408666262,-0.49116621,,,,,,,,,,,0.645321738,0.026354644
173,13.39,23.425,22.49618056,-6.028001812,5.282435936,1,0.911034655,,,,,,,,,,,,0.309953162,0.132603126
174,15.49,21.925,22.33270833,-7.100624815,5.493917729,2,1.239324018,-0.315684665,,,,,,,,,,,0.063650105,0.130484795
175,17.16,22.79,22.33048611,-7.472643976,5.370739346,2,1.13402545,-0.203700561,,,,,,,,,,,0.380230403,0.11393209
176,17.86,21.75,21.99076389,-7.814180086,5.348538178,1,0.953960945,,,,,,,,,,,,0.195264481,0.08086199
177,13.28,24.66,23.51763889,-6.626427949,5.063588116,1,0.96093897,,,,,,,,,,,,0.022726443,0.10047717
178,21.13,26.055,26.05590278,-9.56741442,5.310752044,2,1.216363264,-0.278158998,,,,,,,,,,,0.028139464,0.137325217
179,23.28,27.72,26.71416667,-8.733764322,5.713585853,2,1.567642861,-0.603576148,,,,,,,,,,,0.79171077,0.250184683
180,11.68,24.86,24.42090278,-4.59290037,-0.463551283,3,1.555160102,-0.814224673,0.206149502,,,,,,,,,,0.830657671,0.078206166
181,11.03,21.295,20.76340278,-4.494123508,-0.995790394,2,1.262371185,-0.406546927,,,,,,,,,,,0.2951339,0.162687403
182,11.85,20.995,21.12159722,4.855454528,-41.68563925,2,1.080887539,-0.200839406,,,,,,,,,,,0.000348742,0.073675943
183,20.74,27.68,26.81506944,-9.613951675,5.253182329,2,1.283053439,-0.33142294,,,,,,,,,,,0.00147464,0.133152764
184,15.43,24.375,23.47673611,-5.317147473,-0.270210338,2,1.447801492,-0.487945592,,,,,,,,,,,0.390043538,0.311673634
185,13.28,22.22,21.40520833,-5.532100753,5.282845959,3,0.934339435,-0.324440986,0.331526519,,,,,,,,,,0.583175743,0.132356626
186,17.73,22.745,23.91013889,7.890023879,-4.174155268,4,1.389536148,-0.681372492,0.508987396,-0.230341884,,,,,,,,,0.111898211,0.077130257
187,11.26,27.98,27.40423611,-4.493619726,5.145637001,2,1.155497533,-0.200242627,,,,,,,,,,,0.024873329,0.074506
188,11.02,19.14,19.88944444,2.668190034,10.33961288,2,1.313443592,-0.324140926,,,,,,,,,,,0.811719153,0.201001843
189,10.92,18.46,17.97944444,-4.79794327,5.187909644,6,1.229821152,-0.555317175,0.291958697,-0.327368146,0.525329145,-0.269427152,,,,,,,0.631314257,0.078968467
190,5.65,16.665,15.76951389,1.874612706,1.731000574,2,1.43473764,-0.471342371,,,,,,,,,,,0.438206721,0.016662758
191,18.61,23.395,22.13659722,-8.797055211,11.30098058,2,1.428750958,-0.452059169,,,,,,,,,,,0.000213851,0.084956055
192,18.6,25.8,24.02090278,-7.934727465,0.033293361,5,1.734975014,-1.107028265,0.44397448,0.091857197,-0.195192365,,,,,,,,0.992365812,0.1143051
193,9.05,18.605,18.08395833,3.72910224,2.124233477,3,1.074526326,-0.463855852,0.296638995,,,,,,,,,,0.274450657,0.101447365
194,14.46,18.06,18.30527778,-6.801998497,5.28534343,3,1.125431511,-0.589318084,0.346447605,,,,,,,,,,0.033275876,0.115841727
195,20.48,21.26,21.29659722,-9.276396562,5.265947855,4,1.168783033,-0.421117963,0.413610142,-0.22112708,,,,,,,,,0.049638584,0.117974624
196,20.97,22.925,24.21909722,9.970983622,83.94810108,4,1.41143175,-0.746286183,0.546753973,-0.242499448,,,,,,,,,0.000179208,0.146051521
197,5.89,18.105,18.03763889,-0.986396356,-0.360069001,2,1.50379818,-0.52662825,,,,,,,,,,,0.00549526,0.041972286
198,8.26,18.14,17.86902778,3.660112438,-3.782145928,2,1.24348107,-0.301933413,,,,,,,,,,,0.35385062,0.044587067
199,13.32,19.36,19.67673611,-5.834090469,5.197514954,2,1.268493459,-0.312147545,,,,,,,,,,,0.077131723,0.070288411
200,18.24,25.13,24.21833333,-7.639223736,5.300206418,1,0.956220957,,,,,,,,,,,,0.111588471,0.143378786
