range,midpoint,mean,A1,psi1,p,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,ljung,var
5.15,-1.835,-1.064791667,1.755121078,-1.985583551,2,1.36035769,-0.363457285,,,,,,,,,,,0.388112749,0.013403661
5.46,-3.56,-3.725625,2.195117367,1.901345016,1,0.954510894,,,,,,,,,,,,0.490681562,0.031941384
2.7,-4.41,-4.059791667,-0.475964512,-0.576762526,2,0.77438977,0.193657925,,,,,,,,,,,0.899945807,0.019410979
7.53,-2.835,-2.762083333,3.937995647,1.518445762,2,1.206073479,-0.209238238,,,,,,,,,,,0.008160743,0.026311741
4.13,1.525,2.050833333,-1.502039383,137.2669414,2,1.35564723,-0.404656041,,,,,,,,,,,0.010444409,0.022100496
6.11,0.055,0.857708333,-2.650382004,1.129640794,2,1.471129697,-0.481944115,,,,,,,,,,,0.059542374,0.020295118
1.62,-1.72,-1.573333333,-0.234734037,-0.461839572,2,1.548723463,-0.584141497,,,,,,,,,,,0.408737484,0.003991913
5.15,0.995,0.815833333,1.194810802,-4.491807775,5,1.813541259,-1.000530511,0.118040523,0.280007141,-0.213728837,,,,,,,,0.358178934,0.004793875
5.25,6.355,6.531388889,-0.77771182,1.071686464,7,1.66512325,-0.949322801,0.318467958,0.094360325,-0.121540007,0.188361471,-0.215729012,,,,,,0.625685266,0.006987877
5.75,6.275,6.926597222,-1.35478102,-0.355054607,11,1.546609383,-0.543514759,-0.246618617,0.382434981,-0.143165831,-0.0121811,0.411074974,-0.273737445,-0.692516032,0.799096904,-0.249504552,,0.98879871,0.006310006
7.75,5.055,4.102916667,2.969577275,1.277327429,6,1.825761651,-1.157857099,0.659930421,-0.862146588,0.67759763,-0.198256318,,,,,,,0.732535797,0.017007891
3.15,4.675,3.962291667,0.165589792,-0.700066508,2,1.593193293,-0.639046375,,,,,,,,,,,0.632148926,0.012025846
5.48,2,0.992013889,1.256342213,-1.061884929,2,1.444543174,-0.460419334,,,,,,,,,,,0.300245244,0.024273416
4.5,-1.62,-2.794305556,0.796593279,-0.890001026,2,1.359174113,-0.365475015,,,,,,,,,,,0.061099263,0.019530369
3.74,-2.24,-1.675694444,-1.490787321,43.00692776,3,1.283024783,-0.081732985,-0.209797825,,,,,,,,,,0.55737427,0.007861916
2.02,-0.78,-0.681805556,-0.686251888,-0.234147814,1,0.951210992,,,,,,,,,,,,0.074411221,0.00571584
3.46,-1.18,-1.248680556,1.407392394,1.513397289,2,1.190739515,-0.217029997,,,,,,,,,,,0.206103164,0.009522124
4.39,1.795,1.659652778,1.977266796,8.147051222,4,1.384734369,-0.256973122,0.015902636,-0.15517866,,,,,,,,,0.96553446,0.011834527
8.45,3.475,2.526666667,2.488939587,-1.270070786,2,1.385943047,-0.452626654,,,,,,,,,,,0.000233707,0.079155627
5.73,-1.025,-2.185,1.304014644,-0.675114312,5,1.283512135,-0.547621457,0.489107793,-0.449145477,0.214460722,,,,,,,,0.637609839,0.047781215
3.16,-2.47,-2.986111111,-0.143035255,0.263986094,2,1.356986296,-0.422873575,,,,,,,,,,,0.020223869,0.029056218
4.37,-0.965,-1.037638889,1.65607268,7.859369489,3,1.427150943,-0.239482477,-0.196020452,,,,,,,,,,0.406216627,0.006436212
2.02,1.58,1.930208333,-0.414051552,-0.186523851,2,1.286020303,-0.345906085,,,,,,,,,,,0.67977136,0.009506279
3.6,1.45,1.365,1.375342117,1.835555019,2,1.384518355,-0.424829874,,,,,,,,,,,0.829299356,0.009649785
3.64,3.02,2.249791667,-0.80381295,-0.281849962,2,1.727387638,-0.742178081,,,,,,,,,,,0.505345642,0.00511229
6.34,3.49,2.645208333,1.409841057,-0.510895691,2,1.699889442,-0.728421448,,,,,,,,,,,0.845439158,0.021654959
5.01,0.755,0.494027778,1.719777197,-1.071916963,3,1.253127572,-0.062893433,-0.236104421,,,,,,,,,,0.09154678,0.02460849
4.96,-0.63,-0.347916667,-1.71065027,-5.506863868,3,1.278559529,-0.122691586,-0.184446629,,,,,,,,,,0.26656517,0.015433917
6.44,-0.33,0.281944444,2.955276198,-4.068078889,5,1.661651825,-0.888668039,0.390291809,-0.08351347,-0.083990762,,,,,,,,0.18472055,0.007799988
4.73,0.315,-0.581666667,1.510024369,-0.524097091,2,1.307395903,-0.324173843,,,,,,,,,,,0.191785945,0.016229339
6.52,1.02,0.078888889,2.309560082,0.79317614,2,1.556228522,-0.559907612,,,,,,,,,,,0.652214605,0.010901681
8.71,3.825,5.199722222,-2.09960371,-0.480939517,2,1.59036021,-0.600157323,,,,,,,,,,,0.016434591,0.02839992
7.91,1.685,0.420694444,3.203239759,1.006553695,2,1.438887629,-0.441289794,,,,,,,,,,,0.061442767,0.021737703
7.12,2.73,3.397916667,3.141272062,-14.44686593,2,1.552574053,-0.584585466,,,,,,,,,,,0.022615999,0.043086709
2.31,-0.075,-0.254027778,0.116019397,-7.745310146,2,1.21852886,-0.246376316,,,,,,,,,,,0.934951589,0.016910362
2.32,-1.51,-1.458263889,0.767178147,0.874272988,2,1.108533821,-0.202918264,,,,,,,,,,,0.241137418,0.020643465
2.94,-1.74,-1.370625,-0.938759406,1.333276619,2,1.183249104,-0.208459639,,,,,,,,,,,0.688962008,0.0140406
8.35,1.555,2.402013889,2.188163559,-16.68471317,2,1.896332148,-0.908483186,,,,,,,,,,,0.739993031,0.010553612
3.76,0.43,0.921041667,0.863110897,-1.17840088,2,1.278340045,-0.328203919,,,,,,,,,,,0.337683947,0.02497277
4.77,1.345,0.243888889,0.945202466,-0.939296727,2,1.545859432,-0.593406449,,,,,,,,,,,0.146859462,0.033262996
5.04,0.56,0.411388889,1.942361806,-2.023638369,3,1.329014638,-0.580356184,0.210938248,,,,,,,,,,0.382554441,0.030001996
3.71,-0.945,-0.872986111,1.691557218,1.851592351,1,0.967238663,,,,,,,,,,,,0.01324803,0.008825124
5.91,0.295,-0.304513889,1.588124708,0.695454488,2,1.493205578,-0.509777906,,,,,,,,,,,0.461548986,0.027573261
4.27,2.455,2.436388889,1.352166226,4.486280903,3,1.334689472,-0.138626916,-0.231593174,,,,,,,,,,0.354254574,0.010076201
3.33,0.455,0.396388889,1.140495121,-1.802043172,3,1.305638135,-0.08019785,-0.261142367,,,,,,,,,,0.277055688,0.012994226
4.24,0.3,0.607638889,2.038772309,1.893910542,3,1.139784263,0.231914271,-0.377846825,,,,,,,,,,0.000802972,0.005797572
4.5,2.79,2.580972222,-1.279087345,0.73150068,1,0.9492492,,,,,,,,,,,,0.033390696,0.04241602
8.07,4.115,2.975,2.576527757,1.170943681,3,1.441326461,-0.050321981,-0.393399088,,,,,,,,,,0.035981658,0.006308893
4.17,7.635,8.309097222,1.579227273,1.01819171,2,1.452033101,-0.502328918,,,,,,,,,,,0.909815423,0.021172972
12.47,2.985,4.102430556,-4.633195944,-4.85646647,6,1.3636471,-0.518686882,0.592142366,-0.620073847,0.446797707,-0.287125851,,,,,,,0.015280547,0.061791065
4.12,-0.28,-0.564930556,1.123014297,0.478283189,2,1.268468291,-0.356327659,,,,,,,,,,,0.977389445,0.068693988
4.35,-0.925,-1.419305556,1.393859537,-1.067565385,2,1.231392599,-0.259419645,,,,,,,,,,,0.575915875,0.036897473
3.4,-3.51,-3.644652778,-0.977182469,0.654263307,5,1.090964963,-0.209977991,0.204992193,0.167506114,-0.287820638,,,,,,,,0.080369265,0.020076931
10.78,0.31,0.802291667,-5.293530341,4.971724346,5,1.463752341,-0.4953438,0.166694705,0.092642413,-0.234251851,,,,,,,,0.773880166,0.018743404
4.9,5.44,5.520347222,2.419895569,-41.94253711,1,0.825759685,,,,,,,,,,,,0.451374416,0.020201073
9.78,5.24,4.522777778,2.626522417,-23.13894412,4,1.338499806,-0.316455931,0.169403298,-0.246487411,,,,,,,,,0.762636781,0.057230815
3.22,5.31,5.232291667,-0.628652534,-7.491857399,2,1.260834894,-0.281208624,,,,,,,,,,,0.679003218,0.023818572
7.08,3.3,4.406319444,2.726189171,-14.48583405,2,1.679290808,-0.689424494,,,,,,,,,,,0.014313998,0.01529863
7.9,-2.04,-1.924097222,-3.511717183,70.69845415,2,1.257104499,-0.258120071,,,,,,,,,,,0.000205369,0.043858479
4.91,-7.355,-7.571805556,1.808152835,-1.649602601,1,0.957808165,,,,,,,,,,,,0.067583816,0.051615859
4.19,-9.375,-10.19777778,0.721622518,-1.048766949,6,1.04408854,-0.109646705,0.117147696,-0.09268524,0.219904998,-0.305426321,,,,,,,0.21489881,0.049917437
3.76,-9.94,-9.853055556,0.562969535,-1.007705337,1,0.950309325,,,,,,,,,,,,0.338672257,0.064323538
4.74,-9.92,-9.609513889,0.406972631,-0.743557702,1,0.950327719,,,,,,,,,,,,7.24674E-08,0.071991592
7.36,-6.33,-5.734444444,3.336535194,-4.308928727,4,1.311230712,-0.362003348,0.337260879,-0.289133427,,,,,,,,,0.448175701,0.011218063
7.08,-1.15,-1.217083333,3.603545224,1183.110523,3,1.271834617,0.272628857,-0.547295138,,,,,,,,,,0.473604347,0.004090559
3.24,-0.09,-0.576319444,-0.66883843,0.838931681,4,1.021598054,0.210080186,-0.037435875,-0.22714148,,,,,,,,,0.016295275,0.015919863
7.3,-2.7,-1.033125,-1.882108325,0.445051914,2,1.572776408,-0.580130664,,,,,,,,,,,0.551660282,0.01927685
12.91,-7.355,-6.844513889,4.629849867,0.787480694,3,1.246768526,-0.04018008,-0.236570998,,,,,,,,,,0.288313478,0.15618934
8.62,-5.37,-6.384444444,4.305346593,-1.232171771,1,0.997045214,,,,,,,,,,,,0.075626121,0.064466805
3.38,-7.89,-7.735763889,-0.863469646,-0.655723179,1,0.961307731,,,,,,,,,,,,0.129537779,0.048609887
4.99,-4.385,-4.251111111,1.902536399,8.15308407,2,1.356913176,-0.364905896,,,,,,,,,,,0.216577292,0.026492638
5.03,0.365,0.591805556,1.452716647,1.876941179,4,1.431149276,-0.549557324,0.375055454,-0.267508453,,,,,,,,,0.940762872,0.016643421
4.46,0.58,-0.146041667,1.002971279,-1.275100967,2,1.343866359,-0.382862062,,,,,,,,,,,0.480662908,0.046638978
5.21,-0.385,-0.602916667,-1.564728465,-0.753834065,4,1.116158761,-0.057018301,0.179107623,-0.288803535,,,,,,,,,0.687459009,0.029116115
4.69,0.125,0.428125,1.88109576,1.68090326,1,0.968926056,,,,,,,,,,,,0.328361402,0.038907379
9.16,5.14,5.726111111,-4.868257592,4.997942409,3,1.441764074,-0.267108088,-0.186512841,,,,,,,,,,0.111544337,0.023424404
14.01,4.945,2.250416667,-3.778056451,-23.60459226,2,1.53086137,-0.564674489,,,,,,,,,,,0.920777738,0.167160398
8.25,2.785,3.483402778,-4.00567519,5.134058585,1,0.996267653,,,,,,,,,,,,0.0057428,0.036278998
9.33,1.675,3.174236111,-2.539067187,0.152300705,2,1.525134275,-0.54152234,,,,,,,,,,,0.031342176,0.07855879
3.8,-1.14,-1.540833333,-0.829835703,0.225271469,2,1.155641477,-0.205244731,,,,,,,,,,,0.831617193,0.039250181
6.97,1.595,1.974236111,3.035625691,-10.5410938,2,1.410606283,-0.415730292,,,,,,,,,,,0.054856252,0.034381743
13.14,-0.6,-0.105833333,-5.811365134,-4.998477157,2,1.547094215,-0.549332115,,,,,,,,,,,0.332767359,0.045765263
4.89,-4.605,-4.539652778,1.001224007,4.596068836,1,0.978630443,,,,,,,,,,,,0.000255885,0.059576096
4.68,-1.92,-1.627986111,2.196265014,1.887348774,1,0.994988912,,,,,,,,,,,,0.283157843,0.027593641
6.08,2.12,2.519444444,2.930970326,1.826520787,2,1.282603505,-0.290806234,,,,,,,,,,,0.287867393,0.02686241
2.83,4.715,4.953472222,-1.066261255,-0.920636737,1,0.881095008,,,,,,,,,,,,0.136796437,0.013905881
7.19,5.955,5.581944444,2.115860757,1.782165578,4,1.131581605,0.056628387,0.00744174,-0.211230942,,,,,,,,,0.93786553,0.041157518
12.26,3.19,0.717569444,3.178828168,-1.382679361,2,1.405991472,-0.409243485,,,,,,,,,,,0.105131846,0.085340677
3,-2.21,-2.10375,0.762002644,20.38461844,1,0.983287784,,,,,,,,,,,,0.001725552,0.019583384
2.18,-0.34,-0.395138889,0.908489448,-48.36728684,1,0.866424432,,,,,,,,,,,,0.269729684,0.007980054
3.01,0.015,-0.121388889,1.061337293,-4.652491793,3,0.940261989,0.256100609,-0.280442073,,,,,,,,,,0.113077663,0.014815709
3.59,1.625,1.765138889,1.308896883,1.603966253,1,0.95618025,,,,,,,,,,,,0.000993887,0.034484547
3.75,3.365,3.133333333,-1.298716126,-0.53927182,2,1.367415124,-0.459759299,,,,,,,,,,,0.069024605,0.023971904
1.93,1.975,2.022291667,0.293649672,1.527815006,1,0.941824558,,,,,,,,,,,,0.297507008,0.02241817
3.72,1.64,1.138611111,0.406236293,-0.01368051,4,1.061547258,0.103257055,0.041496399,-0.264381433,,,,,,,,,0.493037232,0.029161741
4.79,2.675,2.420416667,1.391351351,1.247914387,2,1.224047981,-0.238769923,,,,,,,,,,,0.000200809,0.036271033
9.63,6.685,6.420902778,3.854160139,1.320228259,2,1.447694103,-0.467110278,,,,,,,,,,,0.967525391,0.067991812
4.98,7.09,6.977569444,1.889748323,-20.42907728,2,1.275685142,-0.300959716,,,,,,,,,,,0.012260814,0.033682994
4.2,6.47,6.895972222,-0.743429253,-0.642466078,5,1.224910729,-0.218726788,-0.101931487,0.299663237,-0.291789244,,,,,,,,0.927812453,0.04550282
2.94,5.27,4.928472222,-0.31900663,17.62698764,2,1.151397417,-0.247758742,,,,,,,,,,,0.30343612,0.043967956
2.54,4.66,4.436319444,-0.579566416,0.747986733,2,1.081087282,-0.232738559,,,,,,,,,,,0.0467214,0.034353588
2.96,3.64,4.190902778,0.591021021,-7.847880779,1,0.843252058,,,,,,,,,,,,0.012451662,0.05252016
4.29,5.465,5.266180556,-1.698725454,-0.587849924,2,1.12593072,-0.205471928,,,,,,,,,,,0.80590713,0.020617909
8.75,1.605,0.408194444,2.100228221,-7.901442174,2,1.187550573,-0.246099399,,,,,,,,,,,0.313317427,0.165752073
3.87,-0.075,0.420555556,-1.233347115,11.41378186,5,1.165335417,0.001362303,-0.412686591,0.445156484,-0.261393518,,,,,,,,0.908576462,0.024229802
10.52,-0.64,0.242430556,2.865024731,0.139953457,2,1.162133441,-0.206395575,,,,,,,,,,,0.031212648,0.149272343
4.08,3.84,3.779513889,-1.165950417,-0.838558245,2,1.269441146,-0.420403477,,,,,,,,,,,0.156571912,0.053378945
4.06,4.56,4.801180556,1.075263412,8.061979958,2,1.153506581,-0.237355295,,,,,,,,,,,0.172231729,0.039360838
10.05,9.695,9.911666667,-4.572528746,4.835555886,1,0.997628219,,,,,,,,,,,,0.219287341,0.053641514
13.75,6.355,3.830902778,3.150438379,-0.901201129,2,1.705711096,-0.708397702,,,,,,,,,,,0.105808293,0.039108264
6.53,0.035,-0.943888889,0.209479158,0.813060737,2,1.314236973,-0.356754916,,,,,,,,,,,0.076992517,0.086381362
4.32,0.62,0.32375,0.439108904,1.036629699,2,1.28059314,-0.392216945,,,,,,,,,,,0.695087086,0.075784139
3.74,2.55,2.859444444,-1.231417851,0.194213742,1,0.885581571,,,,,,,,,,,,0.980233413,0.026779245
2.87,0.565,0.692638889,0.355020777,-0.055527374,2,1.106600443,-0.19102832,,,,,,,,,,,0.307325015,0.044831033
3.87,1.575,1.936041667,1.461360912,1.857679447,1,0.975009574,,,,,,,,,,,,0.208876618,0.035011966
2.8,3.83,3.623125,-0.522135871,0.507500478,1,0.92442233,,,,,,,,,,,,0.767103094,0.040094658
5.6,5.28,5.593541667,2.486512401,1.847657674,2,1.284283385,-0.290957555,,,,,,,,,,,0.212849156,0.022212825
4.71,7.875,8.154513889,1.350458795,2.019270902,2,1.467924309,-0.534865948,,,,,,,,,,,0.284481503,0.030080566
2.65,9.555,9.619861111,-0.903787418,-0.091922739,2,1.068894012,-0.201687886,,,,,,,,,,,0.258241676,0.023153526
4.36,6.22,6.295069444,-0.871950442,0.542322784,2,1.198589787,-0.230073764,,,,,,,,,,,0.328318343,0.065869252
11.04,9.55,10.01006944,-5.211702355,4.949452103,6,1.255120558,-0.195256057,0.07747104,-0.095123682,0.202365392,-0.248638237,,,,,,,0.446323555,0.032531772
8.35,10.455,9.500486111,2.817101286,-1.350985095,2,1.434398314,-0.442488287,,,,,,,,,,,0.116039932,0.057728375
5.3,6.61,6.684722222,1.472424691,-0.111683754,3,1.112221597,-0.390452981,0.237504109,,,,,,,,,,0.009496051,0.052833305
4.22,7.89,7.307777778,1.535445886,-1.507952804,2,1.227829511,-0.253854556,,,,,,,,,,,0.077418771,0.028906647
2.16,6.89,6.959166667,-0.603573734,-0.72755791,1,0.942785529,,,,,,,,,,,,0.383555407,0.020946766
4.23,7.155,7.379722222,0.589775436,-1.16558667,1,0.934147957,,,,,,,,,,,,0.000561548,0.063871479
7.18,6.6,5.99125,2.92126791,-1.298898439,1,0.990123805,,,,,,,,,,,,0.256449446,0.051000509
8.43,3.825,3.40765625,2.479170062,-1.477515899,2,1.252822984,-0.314730174,,,,,,,,,,,0.24159513,0.084972724
5,2.48,3.075138889,1.836138231,-0.434831838,2,1.151286071,-0.202794927,,,,,,,,,,,0.962682706,0.033872579
4.09,5.295,5.191458333,0.906600427,-10.94128505,3,1.042446071,-0.473205088,0.404302853,,,,,,,,,,0.852263452,0.065105858
3.51,5.735,5.442430556,-0.683772347,0.51104912,2,1.126028261,-0.210217463,,,,,,,,,,,0.134883622,0.067073503
3.38,5.81,6.060347222,0.60674976,4.571531764,2,1.044222614,-0.20741314,,,,,,,,,,,0.088133124,0.065573716
8.38,10.34,9.502847222,3.017312807,1.275889175,1,0.973909698,,,,,,,,,,,,4.98427E-05,0.191383154
5.33,12.425,12.74368056,2.27960928,-29.32348385,1,0.91979765,,,,,,,,,,,,0.931600096,0.02503686
8.52,7.85,7.261597222,2.397164415,-0.714485643,4,1.169843303,-0.065088633,0.174758692,-0.302458332,,,,,,,,,0.587965568,0.049962376
4.65,7.445,7.020069444,1.94795785,1.275851387,2,1.199194102,-0.225421165,,,,,,,,,,,0.474958058,0.051495077
5.72,7.85,7.909583333,2.358500703,-7.956570036,2,1.184419457,-0.249045739,,,,,,,,,,,0.945104933,0.049943983
5.99,5.265,5.898333333,2.201746157,-1.001803131,2,1.119900511,-0.226676819,,,,,,,,,,,0.738708075,0.095461269
6.49,9.515,9.506180556,1.67900723,1.181193255,1,0.983192394,,,,,,,,,,,,0.00036549,0.118712676
4.25,11.005,11.13965278,1.309971667,0.40700584,1,0.911432515,,,,,,,,,,,,0.115416979,0.053157961
3.78,13.37,13.28451389,1.920690587,-11.02490332,1,0.988983161,,,,,,,,,,,,0.261128236,0.010977156
5.74,13.57,14.01840278,0.970300175,-0.013625853,4,1.022097482,-0.053161636,0.420040159,-0.420771064,,,,,,,,,0.395493877,0.051958063
4.1,16.08,16.225625,0.657667431,0.252268585,2,1.196214374,-0.295234313,,,,,,,,,,,0.999653637,0.086063
2.77,17.535,17.70888889,-1.018593339,-13.62846545,1,0.953360132,,,,,,,,,,,,0.140014041,0.01885304
3.77,16.685,16.91145833,-1.146132549,0.916275095,2,1.22577152,-0.272078884,,,,,,,,,,,0.079636849,0.037209316
2.9,14.85,14.73729167,0.748066015,0.475763362,1,0.921698912,,,,,,,,,,,,0.044978064,0.050392197
4.67,14.025,14.480625,2.027570233,-1.40894213,1,0.892455259,,,,,,,,,,,,0.09548181,0.050235265
3.45,14.615,15.11444444,-0.872809041,0.296312745,1,0.968542825,,,,,,,,,,,,0.759261132,0.029551297
4.23,13.285,13.36590278,0.472662143,1.024044349,2,1.238088486,-0.27715869,,,,,,,,,,,0.143048386,0.063459993
3.35,12.795,12.904375,1.209399171,4.6397054,2,1.115690402,-0.317354207,,,,,,,,,,,0.805014934,0.027947087
4.55,10.415,10.82875,1.74166645,-0.597378296,2,1.146302893,-0.298020164,,,,,,,,,,,0.206935729,0.080743898
4.89,12.405,12.24138889,-1.227713737,-0.002811198,1,0.905620674,,,,,,,,,,,,0.05549631,0.05633201
6.3,8.99,9.184930556,2.127340012,-27.11836664,1,0.944607159,,,,,,,,,,,,0.290385517,0.095328081
5.85,10.105,9.777708333,1.273557508,1.123277437,1,0.994648848,,,,,,,,,,,,0.055953632,0.046093406
7.1,12.9,12.770625,2.733169983,-297.2505768,1,0.956711937,,,,,,,,,,,,0.001211215,0.058658823
2.87,12.085,11.98479167,0.751829034,-0.918425842,1,0.899912611,,,,,,,,,,,,0.025974901,0.054174288
7.89,16.555,15.31902778,2.388849148,680.1558848,2,1.216278204,-0.244043329,,,,,,,,,,,0.698522414,0.07390494
7.51,14.425,14.960625,2.85412681,10.50229595,2,1.444180557,-0.469128502,,,,,,,,,,,5.20502E-05,0.044327663
5.83,9.725,10.41659722,2.306315733,4.821776527,2,1.105057891,-0.21787638,,,,,,,,,,,0.009135178,0.071341381
5.84,8.64,8.184375,2.245937753,0.322748833,4,0.924499674,0.0639448,0.200142145,-0.318655311,,,,,,,,,0.077319548,0.02171481
4.99,13.125,13.05118056,1.401085927,1.776600225,2,1.372475692,-0.377340707,,,,,,,,,,,0.19239953,0.021972352
6.12,13.09,13.60555556,2.363189149,-0.133620053,2,1.291326515,-0.365225499,,,,,,,,,,,0.977661547,0.081990637
6.86,10.81,10.59583333,2.356470205,-1.214035117,1,0.985391399,,,,,,,,,,,,0.001161625,0.043120287
3.28,9.79,9.766458333,1.05544087,-0.530242151,2,1.042491473,-0.190927233,,,,,,,,,,,0.018281923,0.028335954
4.6,13.21,13.89680556,-1.360049258,-0.548412912,2,1.187505996,-0.192496736,,,,,,,,,,,0.151812911,0.013406031
10.57,9.155,8.178611111,3.681495185,-0.523442811,2,1.228176691,-0.246156667,,,,,,,,,,,0.665094826,0.112821727
5.44,6.15,6.474513889,2.457912229,-1.087496693,1,0.919742917,,,,,,,,,,,,0.047661318,0.040906812
4.02,11.1,11.74763889,-0.812883994,-0.583920603,1,0.991081433,,,,,,,,,,,,0.009076531,0.021678551
4.05,14.025,14.08701389,-0.839810179,-0.634688823,2,1.224841305,-0.233353626,,,,,,,,,,,0.035186601,0.030264563
5.35,13.315,13.26236111,2.224034624,-1.426128526,3,1.46065025,-0.695105058,0.222837661,,,,,,,,,,2.52547E-05,0.048271861
7.31,7.575,7.3025,3.129086682,-0.818573545,1,0.973379358,,,,,,,,,,,,0.594870605,0.062811026
4.12,6.56,6.689305556,1.020765289,4.622831281,1,0.759262377,,,,,,,,,,,,0.303143351,0.112143519
3.09,6.455,6.365555556,0.901563436,-0.696120164,1,0.893907151,,,,,,,,,,,,0.004996608,0.050136154
4.85,7.125,7.026805556,1.619110753,-0.886170975,2,1.226030005,-0.277571392,,,,,,,,,,,0.112182501,0.047963155
5.89,12.375,13.01618056,-2.132651635,-0.574126605,1,0.978638023,,,,,,,,,,,,0.399597159,0.026978787
3.74,10.86,11.33986111,0.809992111,-0.507557975,2,1.206934236,-0.29891825,,,,,,,,,,,0.670627172,0.057324027
5.87,9.765,9.666805556,2.425346277,-0.734621735,4,1.290884466,-0.404240358,0.385650907,-0.346818119,,,,,,,,,0.04460369,0.042004569
4.72,10.58,10.58930556,1.383079556,-1.933974714,1,0.918661331,,,,,,,,,,,,0.983250461,0.066177683
3.78,10.93,10.926875,-0.811042676,0.725714794,2,1.05856216,-0.247802295,,,,,,,,,,,0.870207717,0.071264058
4.37,12.755,12.67152778,-1.385119022,-0.530494484,2,1.189030925,-0.298093947,,,,,,,,,,,0.174737995,0.05567997
7.6,8.34,7.724375,2.485712708,-1.251001165,1,0.990947187,,,,,,,,,,,,0.787037936,0.073952049
4.03,6.425,6.501180556,1.006517826,-1.165644499,1,0.976568657,,,,,,,,,,,,0.001343856,0.027498669
2.34,8.01,8.042569444,0.476640876,-0.83252499,1,0.945053081,,,,,,,,,,,,0.924800123,0.02016243
4.5,8.91,8.818125,0.783970519,-1.052161751,2,1.335388352,-0.3782579,,,,,,,,,,,0.049385074,0.047263896
3.78,11.13,11.18722222,1.500232528,-8.337120012,3,1.231093592,-0.559628595,0.267277981,,,,,,,,,,0.647623495,0.01974697
6.74,13.39,14.08041667,-1.53734636,-19.75769044,2,1.430421588,-0.464210864,,,,,,,,,,,0.260611583,0.118619644
7.11,11.695,11.52590278,2.455515949,-0.860469003,3,1.315788091,-0.172008577,-0.187871794,,,,,,,,,,0.051432261,0.031939933
4.2,11.95,12.10513889,1.602905801,-1.493230479,2,1.533874251,-0.607956008,,,,,,,,,,,0.675262658,0.027786093
5.4,8.03,7.632430556,1.509412333,-0.394001953,2,1.39681929,-0.456155502,,,,,,,,,,,0.201021006,0.02476908
4.4,6.74,7.4175,-1.150163267,-4.979719661,2,1.30769189,-0.373088695,,,,,,,,,,,0.46354413,0.0329612
